"Station Name","BLIND RIVER HYDRO CENTRE"
"Province","ONTARIO"
"Latitude","46.20"
"Longitude","-83.02"
"Elevation","189.00"
"Climate Identifier","6050805"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1982-01","1982","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1982-02","1982","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1982-03","1982","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1982-04","1982","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1982-05","1982","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1982-06","1982","06","19.6","","6.7","","13.2","","27.0","","-5.0","","37.0","","0.0","","37.0","","","M",,"",,""
"1982-07","1982","07","24.7","","12.5","","18.6","","28.0","","6.0","","65.2","","0.0","","65.2","","","M",,"",,""
"1982-08","1982","08","21.3","","10.2","","15.8","","27.0","S","-2.0","","81.4","","0.0","","81.4","","","M",,"",,""
"1982-09","1982","09","16.8","","8.3","","12.6","","25.5","","1.0","S","173.2","","0.0","","173.2","","","M",,"",,""
"1982-10","1982","10","13.1","","5.1","","9.1","","20.0","","-5.0","","92.6","","0.0","","92.6","","","M",,"",,""
"1982-11","1982","11","5.0","","-1.5","","1.8","","11.0","S","-13.5","","71.6","","22.0","","93.6","","0","",,"",,""
"1982-12","1982","12","1.6","","-5.6","","-2.0","","12.0","S","-22.5","","86.8","","16.0","","102.8","","2","",,"",,""
"1983-01","1983","01","-3.3","","-11.9","","-7.6","","3.5","","-25.0","S","14.0","","40.0","","54.0","","21","",,"",,""
"1983-02","1983","02","-1.8","","-10.7","","-6.3","","7.0","","-31.0","","0.0","T","32.0","","32.0","","17","",,"",,""
"1983-03","1983","03","2.6","","-6.0","","-1.7","","8.0","","-22.5","","29.8","","18.0","","47.8","","0","T",,"",,""
"1983-04","1983","04","8.1","","-0.9","","3.6","","20.0","","-9.0","","56.2","","0.0","T","56.2","","0","",,"",,""
"1983-05","1983","05","13.2","","2.7","","8.0","","20.5","","-3.5","S","111.4","","3.0","","114.4","","","M",,"",,""
"1983-06","1983","06","22.5","","8.6","","15.6","","29.5","S","-1.0","","24.8","","0.0","","24.8","","0","",,"",,""
"1983-07","1983","07","26.7","","14.4","","20.6","","32.5","","6.5","S","35.4","","0.0","","35.4","","0","",,"",,""
"1983-08","1983","08","25.6","","14.5","","20.1","","30.0","S","8.5","","59.4","","0.0","","59.4","","0","",,"",,""
"1983-09","1983","09","20.0","","10.0","","15.0","","29.5","","0.5","","76.9","","0.0","","76.9","","0","",,"",,""
"1983-10","1983","10","11.5","","2.6","","7.1","","20.0","","-6.0","","131.2","","0.0","","131.2","","","M",,"",,""
"1983-11","1983","11","4.3","","-2.7","","0.8","","14.5","","-13.5","","55.8","","13.4","","69.2","","3","",,"",,""
"1983-12","1983","12","-5.9","","-14.8","","-10.4","","3.0","","-31.5","","0.6","","88.0","","88.6","","","M",,"",,""
"1984-01","1984","01","-8.4","","-20.1","","-14.3","","2.5","","-38.0","","0.0","","45.0","","45.0","","58","",,"",,""
"1984-02","1984","02","-0.6","","-8.8","","-4.7","","9.5","","-31.0","","14.6","","16.0","","30.6","","30","",,"",,""
"1984-03","1984","03","-1.2","","-11.9","","-6.6","","8.5","S","-32.5","","32.2","","8.0","","40.2","","7","",,"",,""
"1984-04","1984","04","12.3","","1.2","","6.8","","20.0","","-6.5","S","28.4","","0.0","T","28.4","","","M",,"",,""
"1984-05","1984","05","14.1","","2.9","","8.5","","21.5","","-5.0","","52.4","","0.0","T","52.4","","0","",,"",,""
"1984-06","1984","06","20.7","","10.2","","15.5","","27.5","","3.0","","103.8","","0.0","","103.8","","0","",,"",,""
"1984-07","1984","07","23.6","","11.7","","17.7","","28.0","","5.0","","53.8","","0.0","","53.8","","0","",,"",,""
"1984-08","1984","08","24.2","","13.9","","19.1","","28.5","","5.5","","52.8","","0.0","","52.8","","0","",,"",,""
"1984-09","1984","09","17.2","","7.0","","12.1","","23.0","","-1.5","","120.0","","0.0","","120.0","","","M",,"",,""
"1984-10","1984","10","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1984-11","1984","11","4.7","","-2.4","","1.2","","11.5","","-15.5","","69.2","","0.0","T","69.2","","","M",,"",,""
"1984-12","1984","12","-1.0","","-8.6","","-4.8","","9.0","","-21.0","","29.4","","52.2","E","81.6","E","13","",,"",,""
"1985-01","1985","01","-7.5","","-16.5","","-12.0","","-0.5","","-33.5","","0.0","","65.2","E","65.2","E","32","",,"",,""
"1985-02","1985","02","-4.7","","-16.2","","-10.5","","4.5","","-36.0","","34.1","","46.0","","80.1","","41","",,"",,""
"1985-03","1985","03","2.1","","-8.5","","-3.2","","9.0","","-27.5","","55.4","","46.0","","101.4","","","M",,"",,""
"1985-04","1985","04","8.8","","-1.2","","3.8","","23.0","S","-12.5","","57.0","","17.0","","74.0","","0","",,"",,""
"1985-05","1985","05","16.5","","5.3","","10.9","","24.5","","-2.0","S","68.2","","0.0","","68.2","","0","",,"",,""
"1985-06","1985","06","19.2","","7.6","","13.4","","26.5","","2.0","","53.1","","0.0","","53.1","","0","",,"",,""
"1985-07","1985","07","23.2","","11.3","","17.3","","27.5","","3.5","","83.4","","0.0","","83.4","","0","",,"",,""
"1985-08","1985","08","22.8","","12.0","","17.4","","28.5","","6.0","","114.0","","0.0","","114.0","","0","",,"",,""
"1985-09","1985","09","18.7","","9.3","","14.0","","25.5","S","-0.5","","63.4","","0.0","","63.4","","","M",,"",,""
"1985-10","1985","10","12.3","E","3.2","","7.8","E","17.0","E","-6.0","","65.5","","0.0","","65.5","","0","",,"",,""
"1985-11","1985","11","2.6","","-2.8","","-0.1","","13.0","S","-14.5","","115.9","","12.0","","127.9","","9","",,"",,""
"1985-12","1985","12","-6.0","","-15.2","","-10.6","","1.5","","-36.5","","0.0","","","M","","M","","M",,"",,""
"1986-01","1986","01","-5.7","","-16.6","","-11.2","","4.0","","-31.5","","3.0","","28.0","","22.0","","47","",,"",,""
"1986-02","1986","02","-4.9","","-15.3","","-10.1","","1.5","S","-29.0","","0.0","","19.0","","19.0","","45","",,"",,""
"1986-03","1986","03","1.8","","-8.3","E","-3.3","E","13.0","","-26.0","","53.0","","33.0","","86.0","","","M",,"",,""
"1986-04","1986","04","10.9","","1.5","","6.2","","24.0","","-7.0","","26.4","","0.0","T","26.4","","0","",,"",,""
"1986-05","1986","05","18.6","","6.5","","12.6","","29.5","","-3.0","S","68.6","E","0.0","T","68.6","E","0","",,"",,""
"1986-06","1986","06","20.0","","7.3","","13.7","","26.0","","-1.0","","48.0","","0.0","","48.0","","0","",,"",,""
"1986-07","1986","07","25.0","","12.9","","19.0","","28.5","S","3.5","","114.2","","0.0","","114.2","","0","",,"",,""
"1986-08","1986","08","21.9","","10.7","","16.3","","25.5","S","1.0","","79.6","","0.0","","79.6","","0","",,"",,""
"1986-09","1986","09","16.5","","8.1","","12.3","","23.5","","-0.5","","84.0","","0.0","","84.0","","0","",,"",,""
"1986-10","1986","10","11.2","","1.8","","6.5","","18.0","","-4.5","","84.9","E","0.0","","84.9","E","0","",,"",,""
"1986-11","1986","11","3.1","","-4.1","","-0.5","","12.5","","-17.5","","13.2","","17.0","","30.2","","0","",,"",,""
"1986-12","1986","12","-0.3","","-5.7","","-3.0","","3.5","S","-25.5","","14.2","","26.0","","40.2","","","M",,"",,""
"1987-01","1987","01","-2.5","","-10.6","","-6.6","","5.5","","-29.0","","0.0","","34.0","","34.0","","25","",,"",,""
"1987-02","1987","02","-1.3","","-13.2","","-7.3","","6.5","","-31.5","","0.0","","16.0","","","M","","M",,"",,""
"1987-03","1987","03","3.2","E","-8.7","E","-2.8","E","15.0","E","-22.0","","3.0","E","21.6","E","24.6","E","","M",,"",,""
"1987-04","1987","04","13.5","","0.9","E","7.2","E","22.0","","-9.0","","28.6","E","2.6","","31.2","E","0","",,"",,""
"1987-05","1987","05","17.5","","5.1","","11.3","","29.0","","-3.0","","49.6","","0.0","","49.6","","0","",,"",,""
"1987-06","1987","06","24.2","","9.6","","16.9","","31.0","","-1.0","","57.1","","0.0","","57.1","","0","",,"",,""
"1987-07","1987","07","26.2","","13.8","","20.0","","31.0","","4.5","","99.2","E","0.0","","99.2","E","0","",,"",,""
"1987-08","1987","08","23.4","E","12.1","","17.8","E","30.0","","3.0","","122.8","","0.0","","122.8","","0","",,"",,""
"1987-09","1987","09","19.6","","8.8","","14.2","","24.5","","0.0","","106.7","","0.0","","106.7","","0","",,"",,""
"1987-10","1987","10","10.4","E","3.2","E","6.8","E","16.5","","-2.0","S","71.6","E","14.0","","85.6","E","","M",,"",,""
"1987-11","1987","11","4.9","","-2.6","","1.2","","13.0","S","-14.0","","47.9","E","14.0","E","61.9","E","","M",,"",,""
"1987-12","1987","12","0.7","E","-6.9","E","-3.1","E","8.0","","-22.0","E","31.9","","49.9","E","81.8","E","","M",,"",,""
"1988-01","1988","01","-4.7","E","-15.2","E","-10.0","E","4.0","","-32.0","","3.0","E","46.4","E","49.4","E","","M",,"",,""
"1988-02","1988","02","-5.7","","-17.9","E","-11.8","E","4.0","S","-31.0","","1.0","","43.6","E","44.6","E","","M",,"",,""
"1988-03","1988","03","0.9","E","-10.5","","-4.8","E","10.5","","-27.5","","48.9","E","26.4","E","75.3","E","","M",,"",,""
"1988-04","1988","04","9.8","E","-0.4","","4.7","E","19.0","S","-6.0","S","","M","","M","","M","0","",,"",,""
"1988-05","1988","05","19.2","","5.5","E","12.4","E","29.5","","-0.5","","51.7","E","0.0","","51.7","E","0","",,"",,""
"1988-06","1988","06","23.7","E","9.3","E","16.5","E","33.0","","2.0","S","19.9","","0.0","","19.9","","0","",,"",,""
"1988-07","1988","07","27.2","","12.8","","20.0","","35.0","","6.0","","48.2","E","0.0","","48.2","E","0","",,"",,""
"1988-08","1988","08","24.5","","13.5","","19.0","","33.0","","5.0","","144.4","","0.0","","144.4","","0","",,"",,""
"1988-09","1988","09","18.6","","8.7","","13.7","","26.5","","1.5","","76.5","E","0.0","","76.5","E","0","",,"",,""
"1988-10","1988","10","9.4","E","1.8","E","5.6","E","16.0","S","-4.0","S","104.6","","0.0","","104.6","","","M",,"",,""
"1988-11","1988","11","5.8","E","0.5","","3.2","E","12.5","","-7.5","","142.3","E","4.0","E","146.3","E","","M",,"",,""
"1988-12","1988","12","-2.4","","-11.4","","-6.9","","9.0","","-25.5","","7.0","E","46.6","E","53.6","E","","M",,"",,""
"1989-01","1989","01","-2.5","E","-13.3","E","-7.9","E","5.0","","-33.0","","0.0","T","","M","","M","","M",,"",,""
"1989-02","1989","02","-5.9","E","-18.6","E","-12.3","E","1.5","","-32.0","","0.0","","37.6","E","37.6","E","","M",,"",,""
"1989-03","1989","03","-1.2","","-13.8","E","-7.5","E","10.0","","-30.0","","5.0","E","50.0","","55.0","E","","M",,"",,""
"1989-04","1989","04","7.8","","-2.0","","2.9","","16.0","","-12.0","","33.3","","14.0","E","47.3","E","0","",,"",,""
"1989-05","1989","05","17.4","","5.4","","11.4","","24.0","S","-2.5","","52.4","E","0.0","","52.4","E","0","",,"",,""
"1989-06","1989","06","20.4","","9.7","","15.1","","28.0","S","1.0","","71.6","","0.0","","71.6","","0","",,"",,""
"1989-07","1989","07","28.1","","12.1","E","20.1","E","32.0","","1.0","","10.5","E","0.0","","10.5","E","0","",,"",,""
"1989-08","1989","08","23.1","E","11.2","","17.2","E","29.0","S","5.0","S","34.8","","0.0","","34.8","","0","",,"",,""
"1989-09","1989","09","20.0","","7.1","","13.6","","27.0","","-4.0","","31.4","","0.0","","31.4","","0","",,"",,""
"1989-10","1989","10","11.9","","2.5","","7.2","","19.5","S","-6.5","","47.9","E","0.0","","47.9","E","0","",,"",,""
"1989-11","1989","11","2.8","E","-3.6","E","-0.4","E","","M","","M","7.6","","3.0","","10.6","","","M",,"",,""
"1989-12","1989","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
